,Year,Total
0,1952,867458
1,1953,874596
2,1954,895249
3,1955,912425
4,1956,924922
5,1957,967786
6,1958,1070783
7,1959,1103730
8,1960,1136487
9,1961,1161874
10,1962,1189573
11,1963,1228064
12,1964,1262649
13,1965,1300117
14,1966,1330077
15,1967,1213764
16,1968,1375915
17,1969,1409659
18,1970,1445022
19,1971,1487096
20,1972,1523035
21,1973,1554979
22,1974,1596721
23,1975,1652436
24,1976,1684251
25,1977,1730520
26,1978,1778815
27,1979,1821933
28,1980,1863162
29,1981,1894841
30,1982,1941791
31,1983,1991957
32,1984,2067216
33,1985,2119862
34,1986,2172380
35,1987,2232622
36,1988,2301919
37,1989,2376167
38,1990,2466516
39,1991,2586273
40,1992,2727820
41,1993,2913237
42,1994,3093174
43,1995,3246044
44,1996,3368330
45,1997,3469109
46,1998,3573382
47,1999,3677882
48,2000,3806055
49,2001,3926787
50,2002,4025694
51,2003,4136449
52,2004,4232510
53,2005,4349946
54,2006,4448429
55,2007,4562820
56,2008,4671811
57,2009,4766670
58,2010,4691079
59,2011,4797723
60,2012,4919917
61,2013,5030049
62,2014,5149742
63,2015,5241257
64,2016,5340443
65,2017,5442947
66,2018,5545540
67,2019,5629829
68,2020,5703521
69,2021,5792907
70,2022,5835601
