LOCATION,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUS,40519.0836210149,40328.9348656083,41135.7980850738,41513.5455161377,41789.7663982365,41629.3611455443,42821.8812711655,44130.3235451505,44727.1242824218,45731.7878558082,45864.2246839447,46325.6452063718,46714.7138012541,47349.6629826868,48813.6269703482,49357.8088760077,49688.9707896302,51049.1432412323,51375.7399322454,50884.3098547751,52645.0632525028,54341.6321607586,54693.5327880133,54493.4287124233,54958.9983415996,54594.2877238492,54708.5463944103,54446.1871655676,54585.7361515336,55170.1593572686,56454.6426875463,56599.9299857557
AUT,45313.9720159551,46730.4228288456,47671.8701404884,48060.552615044,48544.7767393866,48935.8602311529,48605.3271945911,48197.3416417211,49741.185546168,50842.5545227083,51003.6687538745,50844.0596468737,51613.8737572224,51732.5421239379,52714.6666757652,52999.3782983738,53791.255595178,54099.6936163515,55008.95643616,55945.1002116724,55693.2537677195,55086.1950141318,55399.0387275458,55424.6726991352,55628.9597328474,56034.5368994984,56565.1098080641,56553.1036411922,56738.9624275253,57182.0543713264,57271.6172207632,58189.1346866111
BEL,45493.2909917868,47491.7503507172,49014.6154879343,50044.8267773323,51015.7770062858,50842.1983374211,51479.5811909363,52136.0073666382,52167.2766415632,55075.0151581003,54577.6273525136,54743.9600900518,56157.2435543636,56491.9959086071,56195.6843234927,55662.2154129004,56040.3524312115,55936.3807418131,56177.7608301146,56960.7291900123,56697.0102359022,57277.8636023361,57740.9047749979,58312.8064794932,58637.190215588,58239.5851322215,58364.7213975469,57956.7749506732,58270.1110053084,58841.9236167908,57271.7218967191,59100.1809372088
CAN,40517.1882340755,40669.7659905388,41263.7112722664,41174.3873216009,40706.0709612304,40614.9814694373,40975.3558931413,42229.8493768496,42938.6744567879,43287.6272809274,44600.0524229853,44416.8123091387,44046.7611259154,44065.7697375825,45034.6151411603,46335.0850839863,47753.6561632973,49148.1701669313,49993.0185989938,50434.2494411984,50581.8930838186,51075.2308168078,51861.2601212403,52502.7340359639,53142.8807996714,53558.1531815747,52599.446320119,53353.3727685498,54325.0894683998,54606.6993038817,56176.8355601337,56005.6171359754
CHE,53052.15149261,53987.3966469074,54462.9348962504,55043.2123431975,55749.2711124979,55787.4222246072,55116.8347511727,56094.9660070118,56262.0924203881,57297.6247282279,58128.6187055064,61373.7629099651,62610.7782619798,62289.1522143942,61842.146069176,62811.3433809162,62992.732341208,63742.5679967119,64062.6491606269,65370.8201237744,65019.3201670911,65447.0664179713,66424.6865031922,67235.8450748468,67348.3284875262,67731.0641888089,67225.2712716855,66913.3587006029,66722.9175098538,68121.6093336129,67105.0181009114,68957.4526836708
CZE,,,,,,14386.1655108093,15866.0244423413,16113.8854427993,16110.9571513406,16751.5436413406,17381.0578327063,18277.4420913387,19382.8074543462,20860.7182149352,21799.9169008062,22440.746354952,23340.1988371658,24036.7678543414,24165.3464422356,24068.5788935786,24808.3144747498,25010.4642180162,25056.2619912968,24900.0481577341,25425.1745235874,26172.8581631554,27097.1678035338,28482.1251018999,29990.7006930927,31236.4530088112,30912.1625160037,31710.8968644062
DEU,,41924.8819886156,44497.3573380858,44790.2271798205,44888.7651123489,45840.297418335,46367.0735162019,46170.9938505384,46736.3944928476,47358.1609448957,47630.9362473236,47978.289176264,48260.950516707,48420.9003393179,48414.6560431125,48589.6709394897,48580.3615468933,48432.5439923966,48649.5661179795,48659.3294771171,49085.4418181365,50075.8882356451,50743.6018929134,51221.4731511943,52080.3601151976,53277.9337901734,54093.9104742941,54663.8550180622,55442.5636927834,56332.1609469743,55920.6690928235,56040.2161468624
DNK,43551.7671602509,43783.1719880398,45258.4231269226,45759.2741216434,44168.2043458637,45111.638966759,45930.2740171816,46664.6963376111,47481.1282889193,48038.973289917,47994.6178006955,48280.4436264319,49379.9115710942,50598.6456254605,51724.7774540012,52618.2949477389,53504.7617043668,54101.2626964787,54817.4594178387,56145.4717378729,56776.1761976908,56477.1803458519,56392.8645626898,56786.7481302489,57870.4063990248,58890.2336522565,58879.1412728563,59219.7467028765,59730.5765454995,60264.9076732623,60984.2427222411,61330.7713424836
ESP,36265.4046583971,37421.8878505212,38804.7948252745,39424.6544438759,39836.3810647241,39045.8760773717,39574.7057557362,39617.1281133814,39828.9188720135,39805.5543907155,38940.0267215148,38736.2520315131,38930.4214506944,38732.4456349163,38239.5000427859,38404.387844485,38221.0114187519,38635.0694056528,40000.4247077932,42517.9211558175,42115.8322690389,41363.4896260308,40205.2278657672,40208.3882636177,40084.8582217399,40684.384215252,40454.9984942639,39927.3834496192,39794.1061416166,39877.2153582443,38425.8737390982,39202.3010628664
EST,,,,,,9316.4634554219,9932.84596441986,10824.6722747946,11561.3506290423,12093.7172960072,13049.698444745,13530.2838012494,14304.0787670199,15653.5315281134,16959.6804514333,18097.7567097939,19710.9213940617,22920.1293944947,23220.7975825552,22558.8749737426,22426.2977939124,21952.7435096521,22220.6107867084,22759.1222597647,23958.7400470747,25084.6044824345,26453.4693925694,27059.3912712127,28533.3902591232,30212.814486472,32017.2536726462,33188.1162985511
