LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUS,16978.343083952,17818.4680572273,18431.8992468273,19126.794638442,20037.941954628,21646.50925148,22758.1222135178,23506.3858380148,24508.9543053973,26247.5513941951,26566.5751006331,27700.5875918641,29524.3791077434,31051.3231583895,30789.6994280676,32599.9985775794,33941.0874400542,33934.6140312227,36048.4276330054,36816.1292775518,37553.1967013718,38951.6063326653,38801.5916231878,39496.5391724337,39960.7301013414,42359.9674818903,44967.2059779644
AUT,18508.1008336687,18923.7607482274,19225.7280692345,20111.5734986179,21027.4996642117,22906.5463034169,22909.9477448382,24433.1611060908,25103.165072225,26077.7685122566,27118.1554171228,28474.9804487232,29403.5412238906,30475.132374413,30400.9774318931,31177.5230582663,31746.4848535024,33296.5271462556,33971.8234744652,34326.2291407177,34413.5343174674,36227.9556316761,36984.3120142911,38190.8705617069,40065.5780656304,39846.4263486956,41841.9364657972
BEL,17545.7995224185,17781.4543694877,18124.7643863327,18462.4150611429,19180.475431571,21610.5995828305,22538.1921599441,24006.625428075,23794.0446586279,24222.4865844202,24523.1291428879,25592.2885454956,26344.8872141335,27855.5616655671,27868.5256083612,28779.4452298409,29401.733558232,30451.084634254,31616.3791892908,32229.0357017547,32596.7529692703,33824.037119115,34777.2243507391,35932.8893005777,38140.4922399395,39520.8898664526,40769.6896133925
CAN,17172.7773737979,17417.7965272208,17919.3415865248,18498.4785877636,19270.5490306928,20296.1672692076,21295.0537270241,21851.1119692896,22332.9791381861,23443.3299884471,24238.4883796067,25244.3890971121,26587.7143310442,27380.749872019,27327.3240987425,28472.1042123442,29113.9573353463,29745.7205182537,30676.6738575626,31379.9103324558,31939.5398254005,33594.3016547497,34554.2781197279,35338.5167004454,34928.0594603632,37658.4218325477,38937.0379614065
CHE,20376.5502404051,20824.3259460046,22325.4276099328,22805.0123197618,23919.5744435907,25471.2091142177,26585.7036877284,27740.5468752783,27087.0863561773,28050.6928916316,28467.1349122313,30329.1397094372,33191.0129785014,34749.2799148584,34952.8865121994,35143.9513595079,35755.518481145,37098.346737892,38885.3214919277,39673.3552406656,40101.2229251717,41097.6293085795,40421.3445123861,41191.335145542,42805.7191929227,43631.3278792859,44389.2929246163
CHL,,,,,,,,,6991.8248925169,7489.53667914673,8042.38294948747,9825.24386660728,10216.4384049377,11144.8463740179,11093.0611347393,11989.7546343925,13349.8756108116,14867.4392950505,15935.7387207176,16097.5964750482,15764.1761430827,16716.4564317381,16871.7629494734,17971.8413680853,18759.9381075501,20367.4757771633,
CRI,,,,,,,,,,,,,,,,,,11946.2853408554,12262.593207226,12876.2954137459,13519.5879422945,14675.8886312115,16132.0735834727,,,,
CZE,9322.67582838215,10167.1213360829,10574.0646615375,10535.5731694945,10952.1279772836,11910.0426922699,12988.0280052824,13688.2846122152,14255.2770134581,14875.7306219878,15267.9942358595,15931.0712580385,16992.210682856,17934.5260469879,18629.1108003474,19246.258059927,19394.281379418,19842.0680912546,20841.7471910034,21889.7964426235,22313.3932226,23663.6652875739,25424.300200146,26770.8843323278,28746.6520177283,29163.7046992439,30811.4913828333
DEU,19221.7176389326,19863.7882925786,20065.9425046277,20352.318416933,21299.5238878629,22437.3095996926,23545.7120196279,24520.5793540153,25070.1854412407,25971.4785722869,26000.9486643346,26889.6565219471,27926.1163659719,29093.3431272611,29162.1940908017,30704.5488995408,32107.4926965654,33295.3906269424,34223.5237813673,35129.6869781155,35492.3964342778,37893.9618546332,39272.160169021,41169.929876663,42752.5398377547,43754.2830760022,44426.1412963634
DNK,15098.8989998493,15408.3670620068,15720.9457294453,16503.6214902658,16491.3793512059,17656.672486107,18333.2389886446,19944.7920030689,19934.4533733351,20886.0486677868,21067.2150100109,22504.0341347767,23709.731232676,24628.5000223929,25269.4008470311,27066.72411777,27671.8631486807,28226.796578206,29302.6636572859,29543.8327968615,30507.1829275656,31950.5301364607,33441.2777459902,34714.1638787589,36125.8357274898,36676.9109514457,37064.6872701996
