,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Mauritius,0.505687415599823,0.502605020999908,0.498920232057571,0.492967635393143,0.487268149852753,0.48235958814621,0.470233649015427,0.456662565469742,0.444080293178558,0.429372549057007,0.429767906665802,0.430430948734283,0.432081788778305,0.432369470596313,0.432733207941055,0.358439773321152,0.369792968034744,0.381489217281342,0.387656271457672,0.394510418176651,0.39235383272171,0.391204208135605,0.390154302120209,0.389784395694733
3,Mexico,0.529218673706055,0.52575558423996,0.519203066825867,0.514178395271301,0.508967101573944,0.501930773258209,0.499646335840225,0.493357926607132,0.479418724775314,0.474600553512573,0.476976037025452,0.473056942224503,0.465758919715881,0.441308736801147,0.431279540061951,0.420254111289978,0.420237272977829,0.414440006017685,0.410382837057114,0.397329062223434,0.396467179059982,0.396157562732697,0.372871369123459,0.372370839118958
5,Moldova,,,,,,,,0.461861073970795,0.428550124168396,0.399294286966324,0.392309725284576,0.348513871431351,0.332363933324814,0.325114220380783,0.301354497671127,0.269899278879166,0.283388465642929,0.288020700216293,0.293146699666977,0.294357717037201,0.311991512775421,0.292510420084,0.272445321083069,0.249699950218201
7,Mongolia,0.37897589802742,0.390132933855057,0.401660591363907,0.409148812294006,0.41731983423233,0.426885813474655,0.435475170612335,0.447429686784744,0.442022234201431,0.4362852871418,0.413286834955215,0.40297195315361,0.39178141951561,0.384944051504135,0.405218452215195,0.399343371391296,0.395626604557037,0.391024500131607,0.417303711175919,0.419784277677536,0.416925191879272,0.414727866649628,0.32736212015152,0.323025077581406
9,Morocco,0.807207465171814,0.808139443397522,0.783722460269928,0.766427755355835,0.750807166099548,0.738668859004974,0.726104557514191,0.71564906835556,0.709718465805054,0.704300761222839,0.701909780502319,0.70590728521347,0.562243700027466,0.550694346427917,0.543370842933655,0.540084183216095,0.538191974163055,0.536250114440918,0.535906434059143,0.536215126514435,0.532181739807129,0.503967225551605,0.502639591693878,0.498253434896469
11,Mozambique,0.668796360492706,0.663051128387451,0.657320380210876,0.653121292591095,0.649110436439514,0.645299136638641,0.641623675823212,0.63816624879837,0.641188561916351,0.638377845287323,0.63525527715683,0.63899838924408,0.642188787460327,0.640056908130646,0.629536330699921,0.626789450645447,0.623819231987,0.620674252510071,0.617007553577423,0.605921387672424,0.601716995239258,0.597708106040955,0.593625843524933,0.589383125305176
13,Myanmar,,,,,,,,,,,,,,,,,,,,,0.435005098581314,0.440670728683472,0.401488065719604,0.394608497619629
15,Namibia,0.607217848300934,0.590254426002502,0.575929880142212,0.562567710876465,0.551119267940521,0.540714740753174,0.532784581184387,0.525541007518768,0.524139642715454,0.5225710272789,0.514841854572296,0.510833382606506,0.506871342658997,0.500374555587769,0.499473333358765,0.492158174514771,0.485090047121048,0.477565705776215,0.467213481664658,0.456348925828934,0.4497329890728,0.440376460552216,0.430184662342072,0.420497834682465
17,Nepal,0.709672093391418,0.709462523460388,0.709279596805573,0.708661377429962,0.708136916160584,0.707619547843933,0.707564055919647,0.707737147808075,0.702785193920136,0.673597455024719,0.668021976947784,0.661897361278534,0.65568470954895,0.64902526140213,0.642008602619171,0.634677290916443,0.627603471279144,0.564356803894043,0.517941176891327,0.508501768112183,0.498643308877945,0.491862177848816,0.484735310077667,0.479173272848129
19,Netherlands,0.129883497953415,0.124339945614338,0.117460161447525,0.1113266274333,0.104803301393986,0.0989039167761803,0.0969173833727837,0.0954262614250183,0.0922904312610626,0.0952492281794548,0.0995840802788734,0.0960415899753571,0.0956564173102379,0.0824367105960846,0.0739728733897209,0.0648174062371254,0.0613519810140133,0.0542488060891628,0.0531929843127728,0.0535213761031628,0.0562244318425655,0.0571327656507492,0.0606018863618374,0.0600090064108372
21,New Zealand,0.283590167760849,0.269857496023178,0.257326781749725,0.243489220738411,0.228981599211693,0.215082839131355,0.205559104681015,0.197830811142921,0.194219440221787,0.190522059798241,0.184240818023682,0.181638985872269,0.182472750544548,0.184822365641594,0.186586827039719,0.180039331316948,0.181058794260025,0.180110439658165,0.17551101744175,0.171882137656212,0.168615475296974,0.159432947635651,0.151549845933914,0.146859481930733
23,El Salvador,0.553533136844635,0.548131585121155,0.542737901210785,0.534147620201111,0.527199566364288,0.525444328784943,0.521501302719116,0.516043782234192,0.501647412776947,0.49530890583992,0.520653426647186,0.516980707645416,0.512889742851257,0.503924071788788,0.503272473812103,0.499749392271042,0.471135705709457,0.46913731098175,0.467469811439514,0.456990867853165,0.453721672296524,0.45138743519783,0.430483728647232,0.428356438875198
25,Estonia,,,,,,,,0.34316149353981,0.332456558942795,0.286419481039047,0.270357012748718,0.262928813695908,0.255733013153076,0.251924812793732,0.249803081154823,0.24651512503624,0.23504650592804,0.216886073350906,0.194385156035423,0.163246750831604,0.156960919499397,0.160743400454521,0.15427553653717,0.157073006033897
28,Fiji,,,,,,,,0.514422059059143,0.511695146560669,0.452673643827438,0.465952277183533,0.486965477466583,0.484770834445953,0.485039323568344,0.461996853351593,0.462094604969025,0.457012534141541,0.452025711536407,0.446290731430054,0.440365672111511,0.434811025857925,0.429828315973282,0.424712091684341,0.41999939084053
30,Finland,0.116588607430458,0.113037005066872,0.10956110060215,0.105658032000065,0.101740002632141,0.0977900177240372,0.0946332812309265,0.0914181917905808,0.0925490781664848,0.0881149023771286,0.0897738412022591,0.0907888486981392,0.0911511480808258,0.0883519873023033,0.0863175392150879,0.0839513093233109,0.0817106515169144,0.0759089440107346,0.0763159319758415,0.0769866704940796,0.0775563344359398,0.0753490701317787,0.0748809054493904,0.0720866322517395
