State,share_unemployed_seasonal,share_population_with_high_school_degree,share_non_citizen,share_white_poverty,gini_index,share_non_white,share_voters_voted_trump,hate_crimes_per_100k_splc,avg_hatecrimes_per_100k_fbi,x2017_hatecrimes_per_100k,x2018_hatecrimes_per_100k,x2019_hatecrimes_per_100k
Alabama,0.06,0.821,0.02,0.12,0.472,0.35,0.63,0.125838926,1.806410489,3.24258222222222,0,0
Alaska,0.064,0.914,0.04,0.06,0.422,0.42,0.53,0.143740118,1.656700109,1.8405125,1.04821,0.661629090909091
Arizona,0.063,0.842,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994,0.255901325757576,0.429836445783133,0.306025071770335
Arkansas,0.052,0.824,0.04,0.12,0.458,0.26,0.6,0.069060773,0.869208872,4.05177142857143,2.21150769230769,3.12621888888889
California,0.059,0.806,0.13,0.09,0.471,0.61,0.33,0.255805361,2.397985899,0.361326727605119,0.371782135465663,0.389187793103448
Colorado,0.04,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765,0.526002735849057,0.455538595041322,0.271682619047619
Connecticut,0.052,0.886,0.06,0.06,0.486,0.3,0.41,0.335392269,3.772701469,0.32325981981982,0.388896790123457,0.443930789473684
Delaware,0.049,0.874,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563,0.331703103448276,0.601533125,0.44262
District of Columbia,0.067,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971,0.0359570984455959,0.0329791079812207,0.0317904954954955
Florida,0.052,0.853,0.09,0.11,0.474,0.46,0.49,0.187521223,0.698070342,1.41485062068966,1.48386964539007,1.88304864864865
Georgia,0.058,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824,3.31407888888889,2.42786057142857,0.910861666666667
Hawaii,0.034,0.904,0.08,0.07,0.433,0.81,0.3,NaN,NaN,NaN,0.223186136363636,0.237780975609756
Idaho,0.042,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529,0.320614905660377,0.75606347826087,0.7426675
Illinois,0.054,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798,1.49637,1.11613504672897,1.86553138461538
Indiana,0.044,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567,0.415872363636364,0.280766728971963,0.485853866666667
Iowa,0.036,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565,2.82249,3.042074,3.135918
Kansas,0.044,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672,0.349438,0.371169855072464,0.334730512820513
Kentucky,0.05,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621,0.11757246031746,0.189280765957447,0.305483630136986
Louisiana,0.06,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554,1.44805,0.784117111111111,1.36020923076923
Maine,0.044,0.902,NaN,0.12,0.437,0.09,0.45,0.615574023,2.626610924,0.4174709375,0.669202,0.70748
Maryland,0.051,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538,1.26087020833333,1.23261673469388,3.35871111111111
Massachusetts,0.046,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339,0.156984074941452,0.191197954545455,0.174561469072165
Michigan,0.05,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266,0.217739495614035,0.230812761020882,0.229709907834101
Minnesota,0.038,0.915,0.05,0.05,0.44,0.18,0.45,0.62747993,3.612411816,0.377295547945205,0.435278015873016,0.532030865384615
Mississippi,0.061,0.804,NaN,0.14,0.468,0.44,0.58,0.067446801,0.622745989,6.82046,1.441292,0.63002
Missouri,0.053,0.868,0.02,0.07,0.455,0.2,0.57,0.18452351,1.908954989,0.581866285714286,0.924949375,0.73227843373494
Montana,0.041,0.908,0.01,0.1,0.435,0.1,0.57,0.495491032,2.954959378,0.700003333333333,1.51765571428571,0.32983125
Nebraska,0.029,0.898,0.05,0.07,0.432,0.21,0.6,0.159489633,2.68624842,0.414632222222222,0.523850294117647,0.394163043478261
Nevada,0.067,0.839,0.1,0.08,0.448,0.5,0.46,0.14167316,2.113990154,5.996078,0.919512727272727,0.697896136363636
New Hampshire,0.034,0.913,0.03,0.06,0.425,0.09,0.47,0.151549595,2.105988585,0.996581538461539,1.01327461538462,0.82097125
New Jersey,0.056,0.874,0.11,0.07,0.464,0.44,0.42,0.078305908,4.413202591,0.181932202020202,0.158797147950089,0.18301
New Mexico,0.068,0.828,0.06,0.1,0.464,0.62,0.4,0.294811321,1.886435184,0.801964285714286,0.684193928571429,0.1638224
New York,0.051,0.847,0.1,0.1,0.499,0.42,0.37,0.350620446,3.102164284,0.356623641304348,0.369956940726577,0.310140343698854
North Carolina,0.058,0.843,0.05,0.1,0.464,0.38,0.51,0.244006588,1.262679796,0.618781144578313,0.737861214285714,0.416202761904762
North Dakota,0.028,0.901,0.03,0.09,0.433,0.15,0.64,NaN,4.741069885,0.503069333333333,0.76065,0.423367777777778
Ohio,0.045,0.876,0.03,0.1,0.452,0.21,0.52,0.190713964,3.240420404,0.255365368421053,0.279259485714286,0.248871739130435
Oklahoma,0.044,0.856,0.04,0.1,0.454,0.35,0.65,0.133629099,1.08167215,1.05840837837838,1.8105945,1.40936107142857
Oregon,0.062,0.891,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113,0.267296506849315,0.340083644067797,0.231775942857143
Pennsylvania,0.053,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759,1.63212564102564,1.8973452238806,3.06963292682927
Rhode Island,0.054,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834,0.963308181818182,0.812523846153846,0.622546470588235
South Carolina,0.057,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833,0.574314022988506,0.446861171171171,0.747307058823529
South Dakota,0.035,0.899,NaN,0.08,0.442,0.17,0.62,NaN,3.301737127,0.470048823529412,0.40327,0.424369
Tennessee,0.057,0.831,0.04,0.13,0.468,0.27,0.61,0.19993848,3.13605115,0.493822352941176,0.396310176470588,0.583814871794872
Texas,0.042,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305,1.47878389473684,0.611994681318681,0.633457653508772
Utah,0.036,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044,0.391836666666667,0.929814545454545,1.70963611111111
Vermont,0.037,0.91,0.01,0.1,0.444,0.06,0.33,0.324149109,1.90308139,0.183428529411765,0.140217777777778,0.190504242424242
Virginia,0.043,0.866,0.06,0.07,0.459,0.38,0.45,0.363248898,1.724754584,0.438743212435233,0.595111188811189,0.523535214723926
Washington,0.052,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296,0.145022862745098,0.147813399209486,0.139994040590406
West Virginia,0.073,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631,0.513244516129032,0.365996744186046,0.508057419354839
Wisconsin,0.043,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651,1.25374673913043,1.10918461538462,0.785229594594595
Wyoming,0.04,0.918,0.02,0.09,0.423,0.15,0.7,NaN,0.26694076,1.3828725,0,1.025426
