LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUS,,,,,,,,,,,56.0706254571131,57.5337284679576,58.5416032961391,60.622339616702,61.5312845241897,57.2196533197576,56.9087381337507,55.7731980877813,53.1555582794109,53.7231763324508,54.6346228962008,56.3393018019435,52.7441957259311,51.5911679826815,52.952951896202,54.9167506247905,54.8674172662649,54.528278463557,61.2789824980768,69.1184803191333,65.2279446720419,66.4015321212981,65.4782473162224,65.4858122363566,64.8138068744693,62.9483461613536,60.3282269209242,60.5614586229438,64.2419283475792,65.867101184051,67.5522088478714,69.488711102065,80.9524213015157,91.427501580158,90.8648262158288,88.0124941583044,89.4829209232604,91.13802295186,88.5008548640413,87.6279734372677,94.0809725649489,86.5100584171229,85.0563732761984,88.3212539409687,92.93405349164,100.0,105.005551515293,112.347055929114,107.745442630622,100.72455905156,100.334249839483,113.890936844712
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1471883690527,81.7233810517259,80.8726686980406,78.6475788865185,74.8014125382326,74.0785270285241,74.0050896104736,74.1856881754003,73.0038955087285,76.0264754931787,82.6875227659255,85.8919180399619,89.0761655485728,94.1604509029637,95.577490962098,100.0,105.46238018068,107.948466280959,109.974671339064,113.076595070425,124.081426290882,134.257005010934
BEL,,,,,,,,,,,74.461152789722,67.2110091027206,65.088660471076,65.8648768160922,64.7177605354471,66.5760420948831,69.7105335082928,76.4170771763862,79.6930751979451,81.1399636750489,73.5252625799183,64.469414173151,58.9367553930807,54.8933086541661,53.3380577520015,51.4129115043872,50.7251223764802,53.2257623397677,55.2432308850654,58.8477061283567,60.0676063737856,58.8783298545378,59.9371122042407,61.2773705756149,62.6357056572079,60.9233466815602,62.2016543566466,62.5583889411936,64.5726573079808,67.3078516690525,67.8520974214012,67.9832365923138,71.8510531162754,76.0956842624654,81.32075003711,87.9032669928677,92.1127929276482,95.0628699687625,94.9803631149094,95.1455719609334,97.9880146461285,100.228214861203,100.312416732869,100.669137922061,99.3836630741976,100.0,100.140517990098,100.22948037406,100.423376519081,100.886237469378,104.275200703101,107.720389481528
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.211212093037,160.188106680852,179.757172398426,184.036748678734,140.973008316028,124.079275792798,108.892387851279,105.678106736512,101.493730373449,101.846172010318,100.0,101.482032108252,102.033455649916,98.629168273836,95.9825964546015,93.8208836966484,89.6235429023995
CAN,,,,,,,,,,,69.5983721806777,67.9669267760095,64.8115729390074,66.7630239201023,72.9195310997562,70.2478627371797,71.4384670254571,68.78817209245,64.3893089715963,64.948564192021,65.9427094078389,66.8371609502693,57.7271236594893,58.6329772024344,54.0374867159361,53.1883675691448,59.3572072814908,65.7020420231418,71.905782415931,76.1769751630459,71.2642665614873,72.6706610100278,73.2628318717107,73.2119360779801,75.2450296266098,70.604345125814,70.0343166528392,69.8874805826381,66.6638703646519,65.6898350401867,64.8795374253122,65.8205715956982,68.9554618873822,72.8073378865715,75.6364678325586,78.9284415906107,83.6905253917699,89.8427774749251,90.0120884057964,87.6886414365679,92.0546612127459,93.7005431173118,95.2990788762423,95.0246837424576,97.8792560131369,100.0,111.572348934818,120.527017286259,123.279828806732,120.906459978569,121.379052331586,134.609301192365
CHE,,,,,,,,,,,123.983539855633,122.847310957137,133.695263519868,141.510132356794,128.921338325033,118.739818656912,112.757603327398,111.57616881093,113.960661952243,118.533232118068,120.226784219839,119.118108906943,117.344066018933,119.219923197806,119.490437018162,119.631331055197,122.245257495409,124.919741160293,135.631591535532,142.297506192129,130.313435117698,119.978327123759,110.31757695735,102.818362923252,101.680467893631,95.3100263581064,89.815741688745,81.8797849214461,79.6329005677727,76.5943621112766,74.5019737656379,72.956895794971,74.4884819984217,75.8949005337597,77.2099450272097,77.705542982517,79.0269917657977,79.8355739908456,81.4305442072655,81.9497434912577,83.3446521260735,88.9630392489428,92.5389945149371,94.1248362921855,96.6158130488088,100.0,101.370597697788,103.937028637295,105.969131227525,108.578818791369,111.001982257,118.026456860297
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6474601623296,90.2545941069226,91.3093926572451,89.2099772804531,84.6850960594965,88.4265154973641,84.9207486873119,87.6464505896342,84.7969712569898,85.0786708050218,84.3227959322354,87.7385587895417,93.0747403861073,100.0,99.2059245820734,105.409064065275,110.540004519044,116.386104026415,108.952770128767,107.637281785295
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1813425630671,87.4253949114096,82.4242094791092,78.874177384167,76.4257246214666,77.1779559111488,77.7257286707624,81.5885076904253,88.761863988696,92.1290528919749,93.8441043232481,92.8520248838167,94.7763333564433,97.7069452098823,99.5528009079113,100.0,104.999423101289,105.441060771076,105.236607054875,105.42550722595,109.676152678147,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.517023058246,106.77981259579,104.087416193174,103.328606080128,100.485069101537,100.446069493276,99.5029707655227,100.0,103.702404344958,108.23089978381,110.433162328235,113.49182743575,117.109486632816,131.914125794484
DEU,,,,,,,,,,,,,,,,,,,,,171.269509775844,171.697489872198,167.824493893068,163.816978684245,152.64397246595,145.809876596993,141.089531963614,135.421950245242,131.691019034571,128.399641695542,128.290240918071,125.720081500363,124.520469123696,126.462443209006,128.429370690511,127.621517042077,123.637227680407,119.91704029969,117.152501372215,114.261121380972,113.462163737316,108.567161095548,107.276403016932,105.168948248627,101.478120584158,101.031900696206,98.1839775878248,94.4081755337662,93.3272377481066,94.6153820660895,93.1919260179511,93.2463525940378,94.445558678459,96.3109926432659,97.3008690662941,100.0,104.725715392978,107.946788689701,110.907305748176,115.1593404146,122.439455889772,133.787399932818
