,country,Predom. Religion,SOGI-LI,DEMOC.,HAPPINESS, Per capita GDP ,% with tertiary educ.,GRI,Religiosity,SHI,legality of sam-sex sexual-activity,marriage/ civil unions,same-sex coupleadoptions,serving in the military,antidiscrimination laws, gender ID markers,Democracy Status,electoral process and pluralism,funct. Of gov,polit. Particpation,political culture,civil liberties,Satisfaction with GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Religion,Government,gdp_factor,lgbtq_rights_agg
0,Zimbabwe,C,0.42,3.16,3.692,2147.0,0.38,2.8,0.88,2.1,0.25,0.0,0.0,0.0,0.0,0.0,A,0.5,2.0,4.44,2.5,3.24,1.151,1.479,0.599,0.399,0.065,0.025,0,0,2,0.0
1,Zambia,C,0.97,5.61,4.377,1539.9,0.49,3.2,0.95,2.0,0.25,0.33,0.0,0.0,0.0,0.0,H,6.17,4.64,3.89,5.63,4.41,0.493,1.048,0.454,0.504,0.352,0.055,0,1,1,0.33
2,Yemen,M,0.56,1.95,3.355,944.41,1.5,4.7,0.99,7.2,0.0,0.33,0.0,0.0,0.0,0.0,A,0.0,0.0,3.89,5.63,3.24,0.357,1.094,0.248,0.406,0.132,0.099,1,0,1,0.33
3,Vietnam,x,3.89,3.08,5.103,2563.82,3.27,7.6,0.3,1.5,1.0,0.33,0.0,0.5,0.0,0.5,A,0.0,,3.21,3.75,4.41,0.689,1.172,0.048,0.462,0.201,0.032,2,0,2,1.33
4,Venezuela,C,2.83,3.16,4.806,,2.96,3.9,0.79,1.4,1.0,0.0,0.0,0.5,0.2,0.0,A,1.67,1.79,4.44,5.0,2.94,0.985,1.35,0.553,0.496,0.116,0.148,0,0,2,0.7
5,Vanuatu,C,3.89,,,3033.41,,1.5,,0.6,1.0,0.33,0.0,0.0,1.0,0.0,,,,,,,0.0,0.712,0.115,0.674,0.238,0.282,0,0,2,1.33
6,Uzbekistan,M,0.97,2.01,6.096,1532.37,,8.0,0.59,1.7,0.25,0.33,0.0,0.0,0.0,0.0,A,0.08,1.86,2.22,5.63,3.82,1.649,1.303,0.748,0.654,0.256,0.171,1,0,1,0.33
7,Uruguay,C,8.5,8.38,6.379,17277.97,3.5,1.1,0.41,1.0,1.0,1.0,1.0,0.5,0.6,1.0,D,10.0,8.57,6.11,2.5,3.82,0.332,0.537,0.255,0.085,0.191,0.036,0,2,3,4.1
8,United States,c,6.6,7.96,6.886,62641.01,26.76,3.3,0.69,4.4,1.0,1.0,1.0,0.5,0.6,0.5,F,9.17,7.14,7.78,5.0,2.65,2.096,0.776,0.67,0.284,0.186,,3,3,4,3.6
9,United Kingdom,C,10.0,8.53,6.814,42491.36,15.31,2.6,0.27,6.8,1.0,1.0,1.0,1.0,1.0,1.0,D,9.58,7.5,8.33,5.0,0.88,0.442,1.073,0.343,0.244,0.083,0.064,0,2,4,5.0
10,United Arab Emirates,M,0.56,2.76,6.774,43004.95,8.54,5.8,0.91,1.0,0.0,0.33,0.0,0.0,0.0,0.0,A,0.0,3.93,2.22,3.13,1.47,1.379,1.331,0.633,0.509,0.098,0.127,1,0,4,0.33
11,Ukraine,C,3.67,5.69,4.103,3095.17,24.55,3.8,0.46,7.1,1.0,0.0,0.0,0.5,0.2,0.5,H,6.17,3.21,6.67,,,,,,,,,0,1,2,1.2
12,Tuvalu,C,1.39,,,3700.71,,2.0,,2.8,0.5,0.33,0.0,0.0,0.0,0.0,,,,,3.13,2.35,,,,,,,0,0,2,0.33
13,Turkmenistan,M,0.97,1.72,5.636,6966.64,,7.9,0.8,0.4,0.25,0.33,0.0,0.0,0.0,0.0,A,0.0,0.79,2.22,6.25,8.53,0.819,1.493,0.693,0.575,0.096,0.031,1,0,3,0.33
14,Turkey,M,3.06,4.37,5.483,9311.37,5.28,7.1,0.82,5.3,1.0,0.33,0.0,0.0,0.0,0.5,H,4.5,5.0,5.0,6.25,5.88,0.9,0.906,0.69,0.271,0.04,0.063,1,1,3,0.8300000000000001
15,Tunisia,M,0.97,6.41,4.592,3446.61,7.38,,0.93,,0.25,0.33,0.0,0.0,0.0,0.0,F,6.42,5.71,7.78,6.25,6.47,0.429,1.117,0.433,0.406,0.138,0.082,1,3,2,0.33
16,Trinidad and Tobago,x,2.22,7.16,,16843.7,6.48,0.8,0.92,1.2,1.0,0.33,0.0,0.0,0.0,0.0,F,9.58,7.14,6.11,6.88,6.47,0.562,1.047,0.295,0.503,0.221,0.082,2,3,3,0.33
17,Tonga,C,1.39,,6.192,4364.02,2.91,1.6,,0.3,0.5,0.33,0.0,0.0,0.0,0.0,,,,,6.25,5.88,0.186,0.541,0.306,0.531,0.21,0.08,0,0,2,0.33
18,Togo,x,0.97,3.1,3.999,671.84,1.51,2.1,0.8,0.8,0.25,0.33,0.0,0.0,0.0,0.0,A,3.17,0.79,3.33,5.63,4.41,0.455,0.991,0.381,0.481,0.27,0.097,2,0,1,0.33
19,The Gambia,M,0.97,,,712.45,,0.7,,3.0,0.25,0.33,0.0,0.0,0.0,0.0,,,,,5.63,5.59,0.076,0.858,0.267,0.419,0.206,0.03,1,0,1,0.33
20,The Bahamas,C,3.06,,,,,3.0,,0.0,1.0,0.33,0.0,0.5,0.0,0.0,,,,,5.63,4.41,0.779,0.797,0.669,0.46,0.026,0.074,0,0,2,0.8300000000000001
21,Thailand,B,6.25,4.63,6.072,7273.56,10.47,3.4,0.97,3.2,1.0,0.5,0.25,0.5,1.0,0.5,H,3.0,4.29,5.0,3.75,2.94,0.885,1.025,0.553,0.312,0.092,0.107,4,1,3,2.75
22,Tanzania,C,0.97,5.41,3.303,1050.68,0.36,4.7,0.89,2.9,0.25,0.33,0.0,0.0,0.0,0.0,H,7.0,5.0,5.0,5.0,2.65,0.308,0.95,0.391,0.452,0.22,0.146,0,1,1,0.33
23,Tajikistan,M,3.05,1.93,5.199,826.62,3.74,7.5,0.85,2.0,1.0,0.33,0.0,0.0,0.0,0.5,A,0.08,0.79,1.67,4.38,2.65,0.535,0.891,0.182,0.454,0.183,0.043,1,0,1,0.8300000000000001
24,Taiwan,B,6.17,7.73,6.441,,,1.7,0.45,0.1,1.0,1.0,0.5,0.5,0.2,0.5,F,9.58,8.21,6.11,4.38,2.94,0.344,0.792,0.211,0.394,0.185,0.094,4,3,2,2.7
25,Syria,M,1.39,1.43,3.462,,2.55,8.3,0.89,9.0,0.0,0.33,0.0,0.0,0.0,0.5,A,0.0,0.0,2.78,5.0,3.24,0.259,0.474,0.253,0.434,0.158,0.101,1,0,2,0.8300000000000001
26,Switzerland,C,6.22,9.03,7.487,82838.93,17.88,2.5,0.41,4.6,1.0,0.83,0.5,0.5,0.4,0.5,D,9.58,9.29,7.78,5.63,3.53,,,,,,,0,2,4,2.73
27,Sweden,C,10.0,9.39,7.314,54111.97,14.93,2.3,0.17,4.5,1.0,1.0,1.0,1.0,1.0,1.0,D,9.58,9.64,8.33,6.88,1.18,,,,,,,0,2,4,5.0
28,Suriname,x,3.22,6.98,,5950.21,,0.9,,0.0,1.0,0.33,0.0,0.0,0.6,0.0,F,9.17,6.43,6.67,5.0,2.35,0.091,0.627,0.145,0.065,0.149,0.076,2,3,3,0.9299999999999999
29,Sri Lanka,B,2.64,6.19,4.471,4102.48,8.51,3.8,0.99,5.6,0.5,0.33,0.0,0.25,0.0,0.5,F,7.83,5.71,5.0,3.75,2.65,0.358,0.907,0.053,0.189,0.181,0.06,4,3,2,1.08
30,Spain,C,7.5,8.08,6.31,,14.96,4.5,0.49,4.0,1.0,1.0,0.5,0.5,1.0,0.5,D,9.17,7.14,7.78,,,,,,,,,0,2,2,3.5
31,South Korea,x,3.06,8.0,5.875,31362.75,30.04,2.4,0.43,0.8,1.0,0.33,0.0,0.0,0.0,0.5,D,9.17,7.86,7.22,,,0.256,0.813,0.0,0.355,0.238,0.053,2,2,4,0.8300000000000001
32,South Africa,C,7.67,7.24,4.724,6339.57,0.32,0.9,0.85,2.8,1.0,1.0,1.0,0.5,0.6,0.5,F,7.42,7.5,8.33,4.38,3.53,1.474,1.301,0.675,0.554,0.167,0.106,0,3,3,3.6
33,Somalia,M,0.56,,4.982,498.66,,4.4,1.0,7.1,0.0,0.33,0.0,0.0,0.0,0.0,,,,,5.63,2.06,0.682,1.174,0.429,0.58,0.598,0.178,1,0,1,0.33
34,Solomon Islands,x,1.39,,,2162.65,,1.0,,2.1,0.5,0.33,0.0,0.0,0.0,0.0,,,,,4.38,4.12,,,,,,,2,0,2,0.33
35,Slovenia,C,7.22,7.5,5.948,26234.02,13.25,2.6,0.47,0.2,1.0,0.33,1.0,0.5,1.0,0.5,F,9.58,6.79,6.67,5.0,0.88,0.719,1.584,0.605,0.724,0.328,0.259,0,3,4,3.33
36,Slovakia,C,4.33,7.1,6.173,19546.9,8.76,3.0,0.47,2.7,1.0,0.0,0.0,0.5,0.6,0.5,F,9.58,6.79,5.56,5.0,0.59,1.016,1.533,0.517,0.417,0.199,0.037,0,3,4,1.6
37,Singapore,N,2.64,6.38,6.343,64581.94,29.71,7.1,0.7,1.9,0.5,0.33,0.0,0.25,0.0,0.5,F,4.33,7.86,6.11,,,,,,,,,5,3,4,1.08
38,Sierra Leone,M,0.97,,4.571,522.86,1.22,3.4,,2.6,0.25,0.33,0.0,0.0,0.0,0.0,,,,,5.63,7.65,,,,,,,1,0,1,0.33
