LOCATION,2017,2018,2019,2020
ARG,7279.4,7188.1,6982.6,
AUS,3567.7,3478.6,3664.5,3408.8
AUT,3763.5,3763.9,3678.3,3715.0
BEL,4109.2,4039.8,,
BGR,8168.9,8126.0,8006.3,
BRA,8858.9,8598.2,8405.4,
CAN,4227.0,4217.3,4087.6,
CHE,3021.1,2999.4,2836.5,
CHL,4980.6,4895.4,,
COL,6265.1,6423.2,6373.8,
CRI,5635.9,5687.3,5622.2,5712.2
CZE,4964.8,4971.8,4869.8,5047.6
DEU,4126.9,4161.7,4028.9,4040.6
DNK,3847.6,3852.8,,
ESP,3324.6,3301.3,3189.5,3392.6
EST,6198.3,6032.3,5688.9,5977.7
FIN,4066.0,3981.8,3930.2,
FRA,4102.4,,,
GBR,4157.6,4353.1,4147.7,4473.4
GRC,4105.4,4034.6,4048.9,
HRV,5449.5,,5282.8,
HUN,7203.1,7074.8,6883.9,
IRL,,3512.9,,
ISL,3289.1,3238.4,3086.2,3312.1
ISR,3312.5,3250.9,3218.3,3172.9
ITA,3190.9,,,
JPN,3064.8,3036.3,2994.8,
KOR,3325.0,3320.7,3224.4,3146.9
LTU,8333.5,8195.9,7866.8,8626.9
LUX,3161.9,2916.0,2941.3,
LVA,8793.8,8659.2,8105.4,8137.5
MEX,8886.0,8787.0,8868.8,12474.8
NLD,3547.3,3486.1,3408.4,3533.8
PER,5200.5,5551.7,,
POL,6592.7,6655.6,6506.1,
PRT,4174.3,4181.4,,
ROU,8174.5,8201.0,7980.0,
RUS,,,10769.3,
SVK,6333.9,6406.7,6221.6,
SVN,4045.3,3952.2,3944.1,3927.1
SWE,3282.2,3225.9,,
TUR,,,5072.3,
USA,6675.1,6621.0,6512.6,7664.8
ZAF,18961.7,18161.9,,
