Var1,Value,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35
TIME,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,11168.9,11411.7,11267,11377.1,11191.4,11089,10928.4,10886.7,10493.3,10337.5,10213.1,10228.1,9947.5,9986.1,9857.6,9394.9,9312.3,9385.1,9186.3,8662.1,8407.5,8303.9,8493.6,8285.3,8233,8040.6,8002.2,7901.4,7872.2,7637.4,7484,7648.4,7279.4,7188.1,6982.6,NaN
AUS,7648.4,7223.3,7160,6993.1,6953,6550.3,6234.7,6161.9,5847.1,5847.1,5669.6,5585.2,5444.1,5307.6,5178.4,5000.1,4743.6,4639.9,4504.5,4373.4,NaN,4237.8,4140.1,4080.5,4027.8,3909.7,3848.5,3678.9,3666.8,3691.9,3724.9,3603.7,3567.7,3478.6,3664.5,3408.8
AUT,8584.6,8236,7917.4,7585.8,7568.9,7361.8,7364.2,7211.1,7094.5,6894.6,6661.8,6450.1,6129.2,5914,5799,5715.7,5468.8,5295.3,5295.9,5103.8,4977.9,4701.5,4625.2,4493.6,4632,4555.5,4376.6,4233.4,4115.3,4047.3,4013,3878.4,3763.5,3763.9,3678.3,3715
BEL,8087.1,8046.8,7694.3,7451,7315,7132.4,7053.9,6980.7,6862,6783.9,6626.5,6362.6,6262.5,6158.9,6074.8,6084.3,5935.2,5780.1,5575.6,5303.1,5277.4,5094.4,5145.4,5068.5,4930.8,4886.6,4765.8,4694.4,4536.6,4320.8,4306.9,4173.4,4109.2,4039.8,NaN,NaN
BGR,10818.7,10543.1,10656.6,10736.8,10772,10751.9,10621.6,11227.5,11262.2,11656,11393.2,11342.1,11874.3,11225.6,10752,10644.6,10640.5,10253.9,10051.7,10024.8,9958.1,9873.5,9549.8,9351,9166.3,8932.2,8630.7,8389.1,8158.7,8486.5,8256.5,8215.2,8168.9,8126,8006.3,NaN
BRA,14636.4,NaN,NaN,NaN,NaN,13187.1,13085,12617.6,13034.4,12884.3,12608.1,12949.6,11932.1,11837.5,11585.3,11630.4,11047,10852.3,10671.9,10526.1,10087.5,9965.6,9819.8,9841.8,9808.2,9698,9697.6,9601.3,9489.6,9339.7,9172.6,9123.1,8858.9,8598.2,8405.4,NaN
CAN,7341.8,7280.8,7088.5,6968.2,6915.8,6741.9,6510.4,6228.7,6194,6067.3,5976.4,5784.9,5579,5410.8,5319.5,5172.9,5095.2,5024.2,4976.5,4853.1,4866.4,4807.7,4698.4,4613.8,4483,4347.8,4298,4214.8,4185.6,4176.3,4164,4225.1,4227,4217.3,4087.6,NaN
CHE,6608.6,6515.7,6404.9,6446.7,6391.2,6392.2,6383.3,6185.3,5932.5,5825.6,5704.3,5299.7,5192.4,4998,4809.8,4826.2,4633.6,4481.6,4353.1,4211.9,4089,3987.8,3864.3,3732.5,3722.1,3523.6,3444,3353,3328,3179.8,3226.7,3035.9,3021.1,2999.4,2836.5,NaN
CHL,11240.1,10657.5,9959.9,10163,10475.7,10242.3,9329.6,8712.3,8630.6,8449.1,8389.9,8144,7721.7,7513.7,7251.1,6902.7,7053.5,6675.9,6591.2,6481.1,6203.2,6070.4,6029.4,5896.6,6046.9,5962.9,5704.6,5555.6,5515.7,5456.1,5378.4,5175.5,4980.6,4895.4,NaN,NaN
COL,13516.9,12693.8,NaN,NaN,NaN,11726.6,12221.8,12194.3,12164.8,11027.6,10706.2,10538.8,10173.3,10212.7,10509.7,10593.8,10461,10147.4,9258,8869,8694.8,8181.9,7803.3,7646.1,7612.6,7288.6,6859.5,6711.2,6532.1,6332.1,6311.9,6443.6,6265.1,6423.2,6373.8,NaN
CRI,8525.6,8459.9,8104.3,7768,7644.6,7499.3,7349.3,7409.6,7324,7554.3,7533.5,6815.7,7010.7,6790.3,6754.4,6302.5,6311.6,6140.1,6109.4,6066.1,5630.4,6019.3,5373.5,5501.3,5326.8,5954.7,5565.8,5456.7,5398.8,5409.5,5487.9,5720.8,5635.9,5687.3,5622.2,5712.2
CZE,NaN,10706.1,10372.5,10254.1,10150.5,10620.7,10158.4,9879.9,9279.3,9079.8,8896.9,8368.8,8357.6,7809,7656.9,7526.3,7261.7,7217.6,7211.5,6889.1,6725.3,6408.7,6303.4,6151.2,6005.5,5844.2,5695.6,5520.2,5385.6,5101,5093.2,4989.5,4964.8,4971.8,4869.8,5047.6
DEU,NaN,NaN,NaN,NaN,NaN,7534,7423.7,7122.6,7025.8,6861.7,6708.7,6539.6,6295.5,6018.7,5879.4,5737.3,5530.9,5438.6,5362.1,5095.6,4970.7,4792.4,4725,4640.1,4584.3,4510.9,4424.2,4272.6,4360.5,4204.4,4310.2,4265.7,4126.9,4161.7,4028.9,4040.6
DNK,8379,8306.6,8305.3,8148,8187.9,8018,7788,7659.6,7538.5,7586.9,7454.1,7203.6,6911.5,6571.4,6836.7,6243.3,6111.8,6101.7,5909.7,5770.4,5428.6,5414.3,5405.4,5198.3,4971.5,4789.4,4536.5,4332.2,4219.2,4167,4033.3,4041.8,3847.6,3852.8,NaN,NaN
ESP,6795.6,6763.8,6768.7,6783.6,6822.6,6804.3,6778.3,6613.5,6471.6,6309.7,6253.8,6163.5,5727.1,5553.8,5530.1,5352,5165.8,5073.6,5044.1,4804.2,4688.6,4469.6,4398,4245.6,4042.8,3866.3,3789.3,3643.5,3480.1,3432.2,3408.6,3360,3324.6,3301.3,3189.5,3392.6
EST,27003.9,24234.6,24091.4,23898.8,25572.4,26850.6,27331.3,28661.6,31482.8,18142.1,16782.8,13882.4,13865.8,14226.9,13376,12677.5,13157.6,12499.8,11742.5,11408.4,10761.7,10605.5,10740.3,9559,8702.8,7924.4,7823,7817,7074.3,7179.7,6725.1,6740.4,6198.3,6032.3,5688.9,5977.7
FIN,8182.9,8105.3,8048.8,8152.7,8059.4,8044.8,7762.8,7477.7,7099.9,6779,6736.1,6533.5,6470.1,6312.2,6246.5,6140.3,5828.1,5679.2,5620.2,5841.3,5640.3,5412.5,5471.5,5305,5186.4,5017.7,4798.6,4679.4,4436.4,4292.8,NaN,4101.4,4066,3981.8,3930.2,NaN
FRA,7925,7854.4,7502.9,7409.2,7343.7,7138.6,7112.1,6946.3,6869.4,6676.3,6522.6,6326.2,6053.7,6118,6041.9,5926.8,5901.6,5736.4,5615.6,5274.1,5206.2,5066,4938.7,4880.6,4846.4,4763.6,4626.6,4481.4,4365.4,4204.5,4240.2,4155.2,4102.4,NaN,NaN,NaN
GBR,7895.6,7740.7,7565.3,7482.9,7272.6,7118.5,6911.9,6621.6,6589.7,6324.9,6322,6196.4,6024.7,5935.4,5840,NaN,5618.7,5523.8,5465,5259.7,5151.6,5097,4996.5,4946.1,4755.4,4610.8,4435.3,4263.8,4243,4198.2,4229.8,4265.9,4157.6,4353.1,4147.7,4473.4
GRC,6846.1,6452.4,6528.9,6277.6,6188.5,6056.1,6025.2,6022.9,5869.7,5792.9,5802.1,5731.3,5528.1,5498.7,5453.2,5277.9,5117.7,4939.7,4820.3,4873.7,4809.6,4564.5,4753.4,4465,4540.7,4413.6,4320.8,4372.5,4209.9,4193.5,4370.8,4306.4,4105.4,4034.6,4048.9,NaN
HRV,10842,10507.9,10756.7,10551,10047.3,9936.7,12275.4,11280.4,9959.8,9377.7,9453.6,9612.2,9539.8,9267.2,8860.7,8709.8,7897.3,7632.1,7554.5,7118.3,7165.3,6819.1,6883.7,6846.4,6530.5,6157.7,5978.7,5935.2,5690.6,5580.8,5743.9,5367.9,5449.5,NaN,5282.8,NaN
HUN,13882.9,13720.4,13278.9,12915.1,13639.1,13870.1,13938.9,14370.9,14386.2,13924.8,13443.9,12505.3,12160.7,12330.6,12317.4,11672,10777.4,10678,10567.9,10285.9,10256.6,9920.3,9836.2,9325.4,9087.6,8648.1,8334.1,7993.8,7580.5,7483,7513,7196.9,7203.1,7074.8,6883.9,NaN
IRL,8245.3,8158.2,7644.1,7644,7569.8,7373.3,7226.6,6909.4,6866.3,6589.9,6802.2,6602.4,6584.7,6469.9,6439.6,6298.9,6018.5,5707.5,5381,5239.1,5019.3,4851.5,4716.6,4736,4808.4,4222.7,4307.5,4175.3,4011.2,3862.7,3729.1,NaN,NaN,3512.9,NaN,NaN
ISL,5921.1,6173.1,6380.1,6385.1,5532.5,6166.4,5832.7,5183.1,4886.5,4919.6,5704.1,4827.3,5155.5,4369,4532.3,4864.8,4275.5,4293.5,3636.6,3977.5,3610.6,3999.9,3701,3408.2,3512.3,3451.5,3197.5,3183.8,3356,3201.7,3315.1,3211,3289.1,3238.4,3086.2,3312.1
ISR,7298.3,7310.6,7147.5,6957.4,6606.8,6410.5,6300.5,6387.3,6011.3,5860.6,5805.7,5519.4,5611.9,5456.1,5263.9,5245,5084.3,5059.1,4755.8,4549,4494.8,4308.3,4213.5,4066.2,3853.5,3790.4,3690.6,3582.5,3524.1,3468.4,3452.8,3388.7,3312.5,3250.9,3218.3,3172.9
ITA,7132.2,6900,6721.2,6613.5,6443.1,6380.1,6483.8,6396.6,6136.5,5981.9,5849.7,5676.6,5394,5266.3,5018.5,4850,4754.1,4606.5,4511.4,4276.3,4177.8,4019.8,3947.2,3832.2,3773.3,3588.4,3615.7,3549,3417,3255,3322.7,3189.8,3190.9,NaN,NaN,NaN
JPN,5699.1,5510,5301.2,5256,5109.5,5073.8,4995.8,5010.4,4937.4,4811.5,4909,4656.1,4560.2,4642.2,4594.4,4419.8,4298.5,4196.7,4177.7,4075.3,4072.8,3956.3,3874.9,3822,3736.1,3677.6,3873.5,3507.6,3410.2,3332.6,3205.6,3150.8,3064.8,3036.3,2994.8,NaN
KOR,11429.4,10660.8,10312.5,9717.9,9495.8,9164.8,9459.6,9130.1,8804,8635.5,8344.9,8034.4,7968,7531.6,7254.1,7012.7,6573.8,6258.4,6066.7,5729.9,5422.2,5070.9,4954.3,4745.7,4659.4,4527.7,4322.2,4117.3,3945.7,3777.7,3611.4,3505.3,3325,3320.7,3224.4,3146.9
LTU,26089.6,22491.2,22573.5,22953,24181.3,24509.3,27248.5,27528.9,15301.3,16038.1,15464.8,13972.2,12901.2,12592.1,12205.7,11855.1,12366.9,12106.7,11968.2,12185,13106.2,13502.1,13982.7,12814.7,11342.2,10940.5,10619.1,10229.2,10189,9665.6,9608.5,9326.4,8333.5,8195.9,7866.8,8626.9
LUX,8722.2,8023.5,8623.6,8290.2,7792.1,7772.3,7985,7180.7,7386.2,6705.9,6506.9,6798.5,6114.3,6017.4,5297.9,5486.5,5459.9,5402.4,5198.5,4695.4,4470.5,4732.4,4363.7,3722.5,3848.8,3944.1,3865,3506.5,3513.8,3275.4,3105,3186.8,3161.9,2916,2941.3,NaN
LVA,27385.6,24336.4,23906.4,24216.7,26120.4,27943.1,29254.1,31030.6,36132.3,39584.1,36989,15301.5,14408.8,14990.3,13836.2,13474,14157.4,13818.4,13086.4,12803.4,13174.3,13493.2,13173.4,11768.6,11038.2,10534.1,9972.2,9688.1,9587.7,9352,8958.2,8772.8,8793.8,8659.2,8105.4,8137.5
MEX,13789.9,12944.4,13236.9,12909.2,13051,12626.6,11806.5,11716.7,11539.4,11260.9,11070.1,10470.6,10329,10150.5,9815.5,9955,9154.9,9222.2,9115.8,8893.3,9378.6,8744.7,8623.9,8897.2,9032.4,9214.5,8740.6,8611.1,8328.7,8438,8425.6,8713.3,8886,8787,8868.8,12474.8
NLD,6618.4,6674.2,6439.1,6212.8,6284.1,6197.1,6090.3,5971.7,6041.2,5795.6,5731,5712,5480.6,5436.6,5469.6,5379.8,5256.8,5165.8,5031.9,4746.8,4588.7,4390.5,4213.7,4175,4074,3987.6,3895,3875.5,3756.7,3663.7,3610.6,3637.1,3547.3,3486.1,3408.4,3533.8
NOR,7083.4,6985.2,7046.4,6962.7,6748.8,6586.9,6247.2,6135.5,5932.4,5730.7,5620.3,5413.9,5395.6,5421.5,5313.2,5293.6,5094.3,4981.4,4777.2,4663.2,4417.6,4328.3,4193.9,4152.5,4139.1,3988.2,3923.7,3677.3,3638.3,3462.2,3281.5,3283.6,NaN,NaN,NaN,NaN
NZL,8838.4,8844.6,8746.8,8529.8,8306,8014.7,7503,7323.3,7096.4,6758,6915.4,6791.1,6529.2,6096.5,6047,5751.7,5646,5542.1,5377.6,5228.4,5009,4879.3,4922,4837.5,4775,4550.1,4582.2,4360.7,4182.7,4196,4130.4,4065.6,NaN,NaN,NaN,NaN
PER,NaN,11267.4,10205,9681.4,9518.7,7879.9,7388,8852.2,NaN,8461.6,8754.1,8659.6,8069,7748.1,7135.7,6660,5987.5,5901.1,6278.4,6199.2,6011.9,5432.4,5395.6,5573.2,5720.9,5597.8,5256.4,5086.1,4951,4698.6,4554,4465.1,5200.5,5551.7,NaN,NaN
POL,12041.8,11748.7,11673.7,11387.7,11780,11943.5,12307.3,11785.8,11061.3,11088.3,10894.1,10423.9,NaN,NaN,9854.9,9274.2,8957.5,8699.6,8505.1,8505.6,8469,8422.2,8417.7,8243.9,8015.1,7581.6,7407.8,7296.8,7055.5,6716.8,6741.4,6605.3,6592.7,6655.6,6506.1,NaN
PRT,9642.6,9351.6,9068.9,9046.4,8697.8,8786.5,8989.6,8601.7,8491.3,7847.4,7981.6,8001.3,7764.8,7565.3,7313.7,7020.6,6851.8,6627.6,6333.5,NaN,NaN,NaN,5368.5,5191.4,5123.9,4880.3,4748.8,4598.1,4438.9,4282.5,4189.7,4205.1,4174.3,4181.4,NaN,NaN
ROU,15355.1,15266.1,16162,15705.7,13323.6,12968.8,12358.2,13037,13276.6,13682.7,13859.5,14247,14195.9,13228,12287.1,11799.6,11767.3,11867.7,11502.1,11038.3,10637.7,10195.3,9765.9,9701,9557.7,9236.2,8441.6,8647.2,8177.5,8375.3,8228.8,8235.3,8174.5,8201,7980,NaN
RUS,31177.4,27027.6,26796.4,27153.2,27951.6,28697,29381.3,32489,39980.5,44126,42371.2,38521.6,35489.7,34752.9,19035.7,20135.9,20410.1,20816.7,21006.2,20507.6,20473.4,18512.6,17278.8,16828.2,15822.9,15467.4,14537.9,14044.5,13549,13593.8,12848,NaN,NaN,NaN,10769.3,NaN
SVK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11014.3,10380.6,10124.5,10055.9,9623.5,9714.2,9868.6,9520.3,9243.6,8948.2,8869.9,8823.7,8462.8,8505.6,8278.6,8286.5,8043.7,7775,7420.7,NaN,6997.9,6738.9,6592.9,NaN,6376.2,6333.9,6406.7,6221.6,NaN
SVN,10450.3,9945,10363.5,9775.6,9455.3,8749.7,9137.1,9080.3,9228.7,8933.6,8261.8,8003.8,7914.3,7851.4,7556,7243.4,7204,6897.1,6913.5,6537.8,6191.1,5965,5870.7,5360.7,5183.6,4953.8,4779.6,4585.9,4598.1,4095.2,4320.8,4201.1,4045.3,3952.2,3944.1,3927.1
SWE,6396,6278.3,6227.7,6262.7,5930.2,5875.4,5819.8,5479.5,5345,5109,4941.6,4767.6,4676.7,4643.1,4565,4470.2,4454.2,4315,4242.3,4350.6,4047,3978,3892.3,3833.9,3767.7,3617,3518.6,3500.3,3498.1,3395.2,3409.3,3330.3,3282.2,3225.9,NaN,NaN
TUR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5328.7,5152.8,5097.1,5043.2,5515.9,5660,5493.8,5707.3,NaN,NaN,5072.3,NaN
USA,8959.7,8952.3,8852.7,8856.7,8736.3,8678.6,8570.3,8374.5,8464.7,8379.5,8273,7934.8,7607,7443.9,7405.7,7235.3,7209.2,7161.3,7116.5,6929.8,6952.1,6879.4,6763.5,6646.6,6519.3,6312.1,6311.2,6269.5,6304,6344.2,6430.1,6667.8,6675.1,6621,6512.6,7664.8
ZAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19357.6,20601.9,23595.4,24789.5,26692.9,28998.6,32053,35208.3,36368.3,37251.8,37446.9,36369.7,35189.4,32600.1,30284.2,27263.8,25423.8,23144.3,22272.4,22010.9,20059.8,18961.7,18161.9,NaN,NaN
