,Persons 16 years of age and over,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,1952,105231.0,62138.0,59.0,60250.0,57.3,6500.0,53749.0,1883.0,3.0,43093.0
1,1953,107056.0,63015.0,58.9,61179.0,57.1,6260.0,54919.0,1834.0,2.9,44041.0
2,1954,108321.0,63643.0,58.8,60109.0,55.5,6205.0,53904.0,3532.0,5.5,44678.0
3,1955,109683.0,65023.0,59.3,62170.0,56.7,6450.0,55722.0,2852.0,4.4,44660.0
4,1956,110954.0,66552.0,60.0,63799.0,57.5,6283.0,57514.0,2750.0,4.1,44402.0
5,1957,112265.0,66929.0,59.6,64071.0,57.1,5947.0,58123.0,2859.0,4.3,45336.0
6,1958,113727.0,67639.0,59.5,63036.0,55.4,5586.0,57450.0,4602.0,6.8,46088.0
7,1959,115329.0,68369.0,59.3,64630.0,56.0,5565.0,59065.0,3740.0,5.5,46960.0
8,1960,117245.0,69628.0,59.4,65778.0,56.1,5458.0,60318.0,3852.0,5.5,47617.0
9,1961,118771.0,70459.0,59.3,65746.0,55.4,5200.0,60546.0,4714.0,6.7,48312.0
10,1962,120153.0,70614.0,58.8,66702.0,55.5,4944.0,61759.0,3911.0,5.5,49539.0
11,1963,122416.0,71833.0,58.7,67762.0,55.4,4687.0,63076.0,4070.0,5.7,50583.0
12,1964,124485.0,73091.0,58.7,69305.0,55.7,4523.0,64782.0,3786.0,5.2,51394.0
13,1965,126513.0,74455.0,58.9,71088.0,56.2,4361.0,66726.0,3366.0,4.5,52058.0
14,1966,128058.0,75770.0,59.2,72895.0,56.9,3979.0,68915.0,2875.0,3.8,52288.0
15,1967,129874.0,77347.0,59.6,74372.0,57.3,3844.0,70527.0,2975.0,3.8,52527.0
16,1968,132028.0,78737.0,59.6,75920.0,57.5,3817.0,72103.0,2817.0,3.6,53291.0
17,1969,134335.0,80734.0,60.1,77902.0,58.0,3606.0,74296.0,2832.0,3.5,53602.0
18,1970,137085.0,82771.0,60.4,78678.0,57.4,3463.0,75215.0,4093.0,4.9,54315.0
19,1971,140216.0,84382.0,60.2,79367.0,56.6,3394.0,75972.0,5016.0,5.9,55834.0
20,1972,144126.0,87034.0,60.4,82153.0,57.0,3484.0,78669.0,4882.0,5.6,57091.0
