Date,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
01/01/1996,,,,-10.31,,,72.95,,,1.67,,,,-20.63,,,,,,,,,,,-64.51
01/01/1997,,,,,-43.75,,,,,,,,,,,,,,,,,,,,
01/01/2002,-8.01,,,23.79,,,,10.62,,,,,,7.17,,,,,,,,,,,-101.11
01/01/2003,133.49,,0.54,,-282.1,,,,,,,,,,,,,,8.58,43.31,,,,,
01/01/2008,,,,,,,,1.02,,,,,,,,,,,,,,,,,-66.09
01/01/2009,,,,,86.85,,,,,,,,,,,,,-69.27,2.33,36.33,,,,,
01/01/2011,,,,,,,,-4.38,,,,,,,,40.54,,,,,,,,,
01/01/2012,16.39,,,,,,-11.98,,,,184.81,-10.42,,,,,,,13.53,,127.47,,,,
01/01/2014,91.43,,,,,,,29.44,,,,,,,,,,,,,,,,,-50.44
01/01/2015,,,,,306.25,,,,,,,,,,,156.39,,,,,,,,,
01/01/2017,,,,,,,,,,,,,,,,,,55.13,,,,,,,41.76
01/01/2020,104.17,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2021,,132.28,,,-1.13,132.58,,,32.76,,,37.33,,,,,,,67.8,22.23,,,,,
01/02/1997,,-22.14,-49.66,-9.31,,-21.83,91.85,-30.68,-49.15,-28.63,108.11,113.92,3.37,-4.63,-16.21,25.01,-10.08,10.93,9.15,38.21,10.2,-13.03,-11.74,-10.25,
01/02/1999,,,,,,,,,,,,,,,,,,54.53,,,,,,,
01/02/2003,,32.81,-16.11,19.439999999999998,-281.25,-102.09,-5.43,62.739999999999995,-56.75,32.05,1.72,172.7,32.730000000000004,6.859999999999999,-21.740000000000002,102.25,25.52,-36.87,,41.81,213.07,36.36,26.57,26.01,-74.2
01/02/2004,35.49,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2008,-80.61,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2009,,106.36,70.47,37.17,56.9,109.11,17.34,-48.34,-50.64,49.8,347.09000000000003,-95.99000000000001,24.33,21.4,38.48,89.13,48.06,-71.77,1.8,,219.66000000000003,58.85,52.16,49.9,-46.49
01/02/2012,,127.11,31.59,27.55,395.4,60.84,,10.52,10.5,39.38,,,22.66,25.99,14.37,122.64,21.1,3.23,,25.61,,35.89,32.41,30.46,-14.69
01/02/2015,,176.65,21.68,28.82,,60.27,87.42,54.74,40.36,44.32,112.88,-23.37,59.77,23.61,34.21,,46.06,95.03,20.3,86.12,96.19,45.96,46.35,43.54,-12.54
01/02/2016,,,,,323.95,,,,,,,,,,,,,,,,,,,,
01/02/2021,,,84.37,65.98,,,26.3,51.13,,91.87,183.08,,73.96,66.3,78.73,-42.9,62.28,220.87,,,163.4,78.39,72.1,71.38,2.48
01/03/1997,,,,,,,,,,,,,,,,,,,,,,,,,-69.71
01/03/1998,,-193.54,4.04,,-160.65,-104.63,47.15,,-72.25,-1.33,,,,,-16.51,17.51,2.32,23.83,,28.61,-4.2,-0.33,,,
01/03/2003,180.69,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2004,,-66.63,,,349.35,22.71,,,-8.5,,43.71,40.900000000000006,,,,,,,-24.92,61.42,32.6,,,,
01/03/2009,-122.78,,,,,,,,,,,,,,,,,,,,,,,,-37.04
01/03/2010,,49.05,,,-146.85,34.47,4.12,,,,68.28,173.53,,,,-5.11,,25.13,-18.8,30.72,44.09,,,,
01/03/2015,13.73,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2016,,26.75,,,,77.07,13.32,,103.86,59.42,21.98,-2.17,71.07,,33.41,-109.51,45.66,58.53,96.2,36.82,68.69,60.06,50.75,49.54,
01/03/2021,91.67,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022,,56.58,104.67,86.78,39.27,99.68,28.9,,96.96,73.97,187.68,90.63,72.86,83.2,69.53,,62.18,240.67,40.8,39.63,173.7,79.19,75.4,74.88,
01/04/1993,,,,,-2.95,,,,,,,,,,,,,,,,-17.5,,,,
01/04/1998,,,,-2.41,,,,-1.78,,,-70.69,6.72,15.37,-5.43,,,,,14.95,,,,-0.84,-1.55,-25.61
01/04/2003,,,,,,,,,,,,,,,,,,25.83,,,,,,,
01/04/2004,,,25.13,30.04,,,61.47,33.44,17.55,10.15,36.81,,39.33,3.96,-10.64,-171.15,21.52,157.35999999999999,,,23.07,36.16,21.47,23.41,-97.4
01/04/2005,-7.91,-23.54,,,,9.17,,,,,,,,,,,,,,,,,,,
01/04/2010,,,19.48,30.02,,,,12.24,-0.54,29.72,,,55.07,0.01,-11.49,,24.96,,,,,28.56,34.05,28.34,-68.14
01/04/2011,,,,,-102.35,,,,,,,,,,,,,,,,,,,,
01/04/2016,47.83,,79.38,46.92,,,,97.44,,,,,,37.91,,,,,,,,,,,26.46
01/04/2022,,,,,,,,90.93,,,,,,,,166.0,,,,,,,,,31.98
