State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,6097.0,5564.0,5283.0,6115.0,7260.0,6916.0,8098.0,8448.0,8288.0,8842.0,10185.0,10835.0,10994.0,12390.0,13338.0,14201.0,14248.0,15293.0,15682.0,15578.0,17320.0,18423.0,17653.0,16471.0,17204.0,18398.0,22616.0,22833.0,23052.0,24329.0,28630.0,34518.0,36052.0,32676.0,28844.0,26894.0,24159.0,24379.0,22286.0,21421.0,21620.0,19582.0,19931.0,19331.0,19324.0,19678.0,19553.0,20775.0,21110.0,21194.0,18363.0,20166.0,21693.0,20826.0,20727.0,22952.0,25886.0,25551.0,25399.0,25046.0
Alaska,236.0,208.0,225.0,272.0,375.0,377.0,409.0,437.0,486.0,624.0,840.0,1112.0,1204.0,1269.0,1527.0,1900.0,2063.0,1804.0,1781.0,1994.0,1919.0,2537.0,2732.0,2940.0,3108.0,3031.0,3046.0,2391.0,2682.0,2623.0,2885.0,3499.0,3877.0,4557.0,4644.0,4656.0,4417.0,4270.0,4015.0,3908.0,3554.0,3735.0,3627.0,3877.0,4159.0,4194.0,4610.0,4520.0,4475.0,4424.0,4537.0,4416.0,4412.0,4708.0,4684.0,5392.0,5966.0,6133.0,6526.0,6343.0
Arizona,2704.0,2288.0,2610.0,3027.0,3368.0,3092.0,3272.0,3892.0,4402.0,5742.0,6564.0,7407.0,8731.0,9877.0,12202.0,12184.0,10335.0,11347.0,12996.0,14528.0,17673.0,16082.0,14785.0,14642.0,15756.0,19202.0,21835.0,20742.0,21147.0,21320.0,23911.0,25152.0,25706.0,28142.0,28653.0,30095.0,27963.0,28411.0,26984.0,26334.0,27281.0,28675.0,30171.0,28638.0,28952.0,30478.0,33456.0,32835.0,31567.0,28128.0,26528.0,26789.0,28108.0,27599.0,26916.0,28012.0,32583.0,35644.0,34058.0,33141.0
Arkansas,1924.0,1809.0,1667.0,1991.0,2641.0,2662.0,3185.0,4320.0,4360.0,4390.0,4276.0,4680.0,4840.0,5905.0,6521.0,7369.0,6410.0,6924.0,7522.0,7984.0,7656.0,7119.0,7438.0,6930.0,7549.0,8199.0,9365.0,9839.0,10237.0,11397.0,12511.0,14072.0,13831.0,14381.0,14598.0,13741.0,13161.0,13293.0,12442.0,10848.0,11904.0,12190.0,11501.0,12449.0,13814.0,14670.0,15538.0,15226.0,14649.0,14905.0,14711.0,14173.0,13835.0,13621.0,14243.0,15526.0,16461.0,16671.0,16384.0,17643.0
California,37558.0,38154.0,39846.0,42419.0,48026.0,52490.0,57718.0,67446.0,81293.0,89878.0,94741.0,104872.0,110667.0,116563.0,127658.0,138842.0,144041.0,154582.0,165626.0,184087.0,210290.0,208485.0,201429.0,194491.0,195589.0,201763.0,248370.0,253943.0,261912.0,284136.0,311051.0,331122.0,345624.0,336381.0,318395.0,305154.0,274996.0,257582.0,229883.0,207879.0,210531.0,212867.0,208388.0,205551.0,189175.0,190178.0,194483.0,191561.0,185329.0,174934.0,164133.0,154943.0,160944.0,154129.0,153709.0,166883.0,174796.0,177627.0,176982.0,174331.0
Colorado,2408.0,2659.0,2990.0,2555.0,3119.0,3007.0,3340.0,3789.0,5387.0,6275.0,7874.0,8530.0,9555.0,10088.0,10728.0,11735.0,10770.0,13407.0,13296.0,14472.0,15215.0,15755.0,15354.0,14955.0,14548.0,15219.0,17105.0,15409.0,15548.0,15636.0,17328.0,18887.0,20086.0,20229.0,18632.0,16494.0,15463.0,14139.0,15008.0,13811.0,14367.0,15492.0,15882.0,15757.0,17121.0,18498.0,18794.0,17101.0,17480.0,17022.0,16339.0,16085.0,16023.0,16226.0,16554.0,17515.0,18983.0,20638.0,22624.0,21938.0
Connecticut,928.0,878.0,938.0,1192.0,1773.0,1973.0,2146.0,2804.0,3825.0,4415.0,5167.0,5968.0,6138.0,6421.0,7045.0,8308.0,8516.0,8774.0,9762.0,12902.0,12768.0,14033.0,12597.0,11767.0,12422.0,12758.0,13578.0,13455.0,14759.0,16576.0,18201.0,17761.0,16252.0,14949.0,14916.0,13293.0,13490.0,12781.0,11993.0,11342.0,11058.0,11492.0,10807.0,11045.0,10113.0,9542.0,10505.0,10547.0,10737.0,10588.0,10083.0,9889.0,10160.0,9440.0,8522.0,7845.0,8123.0,8180.0,7411.0,6546.0
Delaware,375.0,318.0,338.0,424.0,541.0,561.0,655.0,948.0,1288.0,1588.0,1795.0,2060.0,2181.0,2016.0,2539.0,2270.0,1872.0,2224.0,2569.0,3127.0,2824.0,3044.0,3370.0,2746.0,2671.0,2695.0,2703.0,2774.0,2981.0,3745.0,4365.0,4857.0,4280.0,4801.0,4549.0,5198.0,4845.0,5753.0,5672.0,5534.0,5363.0,4868.0,4836.0,5525.0,5105.0,5332.0,5983.0,6100.0,6187.0,5713.0,5608.0,5144.0,5020.0,4549.0,4576.0,4720.0,4844.0,4361.0,4097.0,4115.0
District of Columbia,4230.0,4491.0,4750.0,4740.0,5112.0,5804.0,7155.0,9252.0,12180.0,17038.0,16846.0,16084.0,12607.0,11626.0,11590.0,12704.0,10399.0,9843.0,9515.0,10553.0,12772.0,14468.0,13397.0,11933.0,10725.0,10171.0,9423.0,10016.0,11914.0,12937.0,14919.0,14671.0,16685.0,16888.0,15177.0,14744.0,13411.0,10708.0,8988.0,8448.0,8626.0,9195.0,9322.0,9061.0,7590.0,8032.0,8772.0,8325.0,8509.0,8089.0,8026.0,7433.0,7864.0,8406.0,8199.0,8531.0,8214.0,6974.0,6996.0,7403.0
Florida,11061.0,11376.0,10489.0,12150.0,16539.0,17386.0,20069.0,23399.0,27913.0,29411.0,33824.0,38575.0,40252.0,46419.0,54821.0,57540.0,54597.0,58052.0,65792.0,73881.0,94095.0,98109.0,93411.0,88292.0,95270.0,106971.0,121013.0,123168.0,138343.0,140575.0,160990.0,157243.0,162827.0,164975.0,160016.0,151711.0,151350.0,149996.0,140016.0,129044.0,129777.0,130713.0,128721.0,124280.0,123754.0,125957.0,129602.0,131878.0,126256.0,113541.0,101969.0,98198.0,94087.0,91986.0,107521.0,93626.0,88700.0,85625.0,81980.0,81270.0
