Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
"Country Name",1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Africa Eastern and Southern",11.8282402528978,12.7849096148808,12.5151515151515,14.8003602521765,15.4269972451791,16.657824933687,16.674733785092,17.3832923832924,19.3059433585959,19.7725458898643,20.2263083451202,21.4442013129103,22.3808605054987,22.6422447388932,25.2462121212121,25.0222776688647,25.9150552486188,25.7469077069458,28.1497100685293,28.9891696750903,28.7059226292366,28.7715701349735,29.2745638200184,30.1284472988289,30.4747883695252
"Afghanistan",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.3092369477912,27.3092369477912,27.6859504132231,27.6859504132231,27.3092369477912,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,NaN,27.8688524590164,27.0161290322581,27.0161290322581
"Africa Western and Central",NaN,NaN,NaN,6.81514476614699,7.39587388088751,7.94306703397613,8.95696006203955,10.0685673042223,10.7078692058929,11.1844390413338,12.3098201936376,11.2031700288185,11.143166245943,11.203007518797,11.8590861527729,13.6432350718065,14.7058823529412,15.6141568355309,15.0849150849151,14.84375,15.2791068580542,15.3184713375796,15.398773006135,16.3452708907254,17.824377457405
"Angola",9.54545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15,15,15,15,37.2727272727273,38.6363636363636,38.6363636363636,38.1818181818182,34.0909090909091,34.0909090909091,36.8181818181818,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30,30,29.5454545454545
"Albania",NaN,NaN,5.16129032258065,5.16129032258065,5.71428571428571,5.71428571428571,5.71428571428571,6.42857142857143,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,16.4285714285714,16.4285714285714,15.7142857142857,15.7142857142857,17.8571428571429,20,20.7142857142857,22.8571428571429,27.8571428571429,27.8571428571429,29.5081967213115,29.5081967213115,35.7142857142857
"Andorra",7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,28.5714285714286,28.5714285714286,28.5714285714286,25,35.7142857142857,35.7142857142857,50,50,50,50,39.2857142857143,32.1428571428571,32.1428571428571,32.1428571428571,46.4285714285714,46.4285714285714,46.4285714285714
"Arab World",3.74716124148373,3.45744680851064,3.61677568295498,3.77068103116583,4.62126476719944,6.13093176307586,6.04810996563574,6.69304319155952,7.03676649622596,9.34959349593497,9.7537652402582,9.80157781496534,9.90230905861456,11.919671777154,11.3285024154589,14.87204249155,17.3693086003373,17.7934018388318,18.7798408488064,19.2756139915654,18.8840212128199,19.060773480663,17.5665399239544,19.5469585136167,18.2245430809399
"United Arab Emirates",0,0,0,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50,50,50
"Argentina",27.6264591439689,27.6264591439689,NaN,26.4591439688716,NaN,30.7392996108949,30.7392996108949,33.7254901960784,36.1867704280156,35.0194552529183,40,40,38.5214007782101,38.5214007782101,37.3540856031128,37.3540856031128,36.5758754863813,36.5758754863813,NaN,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606,40.8560311284047,44.7470817120623
"Armenia",6.31578947368421,6.31578947368421,3.05343511450382,3.05343511450382,3.05343511450382,3.05343511450382,4.58015267175572,5.34351145038168,5.34351145038168,5.34351145038168,9.16030534351145,8.3969465648855,9.16030534351145,9.16030534351145,8.3969465648855,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,18.0952380952381,18.0952380952381,23.4848484848485,23.4848484848485,33.6448598130841
"Antigua and Barbuda",5.26315789473684,5.26315789473684,NaN,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
"Australia",15.5405405405405,15.5405405405405,22.4489795918367,22.972972972973,NaN,25.3333333333333,25.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26.6666666666667,26.6666666666667,27.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26,26,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.4635761589404,30.4635761589404,31.1258278145695
"Austria",26.2295081967213,26.2295081967213,NaN,26.775956284153,26.775956284153,NaN,33.879781420765,33.879781420765,33.879781420765,32.2404371584699,32.7868852459016,27.3224043715847,27.8688524590164,27.8688524590164,27.8688524590164,27.8688524590164,33.3333333333333,32.2404371584699,30.6010928961749,30.6010928961749,34.4262295081967,34.4262295081967,39.344262295082,39.344262295082,40.4371584699454
"Azerbaijan",12,12,12,NaN,10.4838709677419,10.4838709677419,10.4838709677419,10.4838709677419,13.0434782608696,11.2903225806452,11.3821138211382,11.3821138211382,11.3821138211382,16,16,16,15.5737704918033,15.5737704918033,16.9354838709677,16.8,16.8,16.8,16.8067226890756,17.3553719008264,18.1818181818182
"Burundi",NaN,11.864406779661,5.98290598290598,14.4067796610169,14.4067796610169,18.4357541899441,18.4357541899441,18.4357541899441,30.5084745762712,30.5084745762712,30.5084745762712,30.5084745762712,31.3559322033898,32.0754716981132,30.4761904761905,30.4761904761905,30.4761904761905,30.4761904761905,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,38.2113821138211,38.2113821138211
"Belgium",12.6666666666667,12.6666666666667,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,35.3333333333333,34.6666666666667,34.6666666666667,34.6666666666667,35.3333333333333,35.3333333333333,38,39.3333333333333,38,38,38,39.3333333333333,39.3333333333333,39.3333333333333,38,38,42,41.3333333333333,42
"Benin",7.2289156626506,7.2289156626506,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,7.2289156626506,7.2289156626506,7.2289156626506,10.8433734939759,10.8433734939759,10.8433734939759,10.8433734939759,8.43373493975904,8.43373493975904,8.43373493975904,8.43373493975904,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,8.43373493975904
"Burkina Faso",9.00900900900901,8.10810810810811,8.10810810810811,8.10810810810811,8.10810810810811,11.7117117117117,11.7117117117117,11.7117117117117,11.7117117117117,11.7117117117117,15.3153153153153,15.3153153153153,15.3153153153153,15.3153153153153,15.3153153153153,15.748031496063,15.748031496063,NaN,9.44881889763779,9.44881889763779,11.0236220472441,11.0236220472441,13.3858267716535,6.2992125984252,6.2992125984252
