Country,GDP_Per_Capita_2015,Family_2015,Life_Expectancy_2015,Freedom_2015,Govt_Corruption_2015,Generosity_2015,Happiness_Score_2015,GDP_Per_Capita_2016,Family_2016,Life_Expectancy_2016,Freedom_2016,Govt_Corruption_2016,Generosity_2016,Happiness_Score_2016,GDP_Per_Capita_2017,Family_2017,Life_Expectancy_2017,Freedom_2017,Generosity_2017,Govt_Corruption_2017,Happiness_Score_2017,GDP_Per_Capita_2018,Family_2018,Life_Expectancy_2018,Freedom_2018,Generosity_2018,Govt_Corruption_2018,Happiness_Score_2018,GDP_Per_Capita_2019,Family_2019,Life_Expectancy_2019,Freedom_2019,Generosity_2019,Govt_Corruption_2019,Happiness_Score_2019,GDP_Per_Capita_2020,Family_2020,Life_Expectancy_2020,Freedom_2020,Generosity_2020,Govt_Corruption_2020,Happiness_Score_2020,GDP_Per_Capita_2021,Family_2021,Life_Expectancy_2021,Freedom_2021,Generosity_2021,Govt_Corruption_2021,Happiness_Score_2021,GDP_Per_Capita_2022,Family_2022,Life_Expectancy_2022,Freedom_2022,Generosity_2022,Govt_Corruption_2022,Happiness_Score_2022
Switzerland,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,7.587,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,7.509,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,7.49399995803833,1.42,1.549,0.927,0.66,0.256,0.357,7.487,1.452,1.526,1.052,0.572,0.263,0.343,7.48,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,7.559899807,11.117,0.942,74.4,0.919,0.025,0.292,7.571,2.026,1.226,0.822,0.677,0.147,0.461,7.512
Iceland,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,7.561,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,7.501,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,7.50400018692017,1.343,1.644,0.914,0.677,0.353,0.138,7.495,1.38,1.624,1.026,0.591,0.354,0.118,7.494,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,7.504499912,10.878,0.983,73,0.955,0.16,0.673,7.554,1.936,1.32,0.803,0.718,0.27,0.191,7.557
Denmark,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,7.527,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,7.526,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,7.52199983596802,1.351,1.59,0.868,0.683,0.284,0.408,7.555,1.383,1.573,0.996,0.592,0.252,0.41,7.6,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,7.645599842,10.933,0.954,72.7,0.946,0.03,0.179,7.62,1.953,1.243,0.777,0.719,0.188,0.532,7.636
Norway,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,7.522,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,7.498,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,7.53700017929077,1.456,1.582,0.861,0.686,0.286,0.34,7.594,1.488,1.582,1.028,0.603,0.271,0.341,7.554,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,7.487999916,11.053,0.954,73.3,0.96,0.093,0.27,7.392,1.997,1.239,0.786,0.728,0.217,0.474,7.365
Canada,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,7.427,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,7.404,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,7.31599998474121,1.33,1.532,0.896,0.653,0.321,0.291,7.328,1.365,1.505,1.039,0.584,0.285,0.308,7.278,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,7.23210001,10.776,0.926,73.8,0.915,0.089,0.415,7.103,1.886,1.188,0.783,0.659,0.217,0.368,7.025
Finland,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,7.406,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,7.413,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,7.4689998626709,1.305,1.592,0.874,0.681,0.202,0.393,7.632,1.34,1.587,0.986,0.596,0.153,0.393,7.769,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,7.808700085,10.775,0.954,72,0.949,-0.098,0.186,7.842,1.892,1.258,0.775,0.736,0.109,0.534,7.821
Netherlands,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,7.378,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,7.339,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,7.3769998550415,1.361,1.488,0.878,0.638,0.333,0.295,7.441,1.396,1.522,0.999,0.557,0.322,0.298,7.488,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,7.448900223,10.932,0.942,72.4,0.913,0.175,0.338,7.464,1.945,1.206,0.787,0.651,0.271,0.419,7.415
Sweden,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,7.364,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,7.291,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,7.28399991989136,1.355,1.501,0.913,0.659,0.285,0.383,7.314,1.387,1.487,1.009,0.574,0.267,0.373,7.343,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,7.353499889,10.867,0.934,72.7,0.945,0.086,0.237,7.363,1.92,1.204,0.803,0.724,0.218,0.512,7.384
New Zealand,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,7.286,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,7.334,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,7.31400012969971,1.268,1.601,0.876,0.669,0.365,0.389,7.324,1.303,1.557,1.026,0.585,0.33,0.38,7.307,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,7.299600124,10.643,0.948,73.4,0.929,0.134,0.242,7.277,1.852,1.235,0.752,0.68,0.245,0.483,7.2
Australia,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,7.284,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,7.313,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,7.28399991989136,1.34,1.573,0.91,0.647,0.361,0.302,7.272,1.372,1.548,1.036,0.557,0.332,0.29,7.228,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,7.222799778,10.796,0.94,73.9,0.914,0.159,0.442,7.183,1.9,1.203,0.772,0.676,0.258,0.341,7.162
Israel,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,7.278,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,7.267,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,7.21299982070923,1.301,1.559,0.883,0.533,0.354,0.272,6.814,1.276,1.455,1.029,0.371,0.261,0.082,7.139,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,7.128600121,10.575,0.939,73.503,0.8,0.031,0.753,7.157,1.826,1.221,0.818,0.568,0.155,0.143,7.364
Costa Rica,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,7.226,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,7.087,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,7.0789999961853,1.01,1.459,0.817,0.632,0.143,0.101,7.072,1.034,1.441,0.963,0.558,0.144,0.093,7.167,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,7.121399879,9.88,0.891,71.4,0.934,-0.126,0.809,7.069,1.584,1.054,0.744,0.661,0.089,0.102,6.582
Austria,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,7.2,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,7.119,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,7.00600004196167,1.341,1.504,0.891,0.617,0.242,0.224,7.139,1.376,1.475,1.016,0.532,0.244,0.226,7.246,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,7.294199944,10.906,0.934,73.3,0.908,0.042,0.481,7.268,1.931,1.165,0.774,0.623,0.193,0.329,7.163
Mexico,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,7.187,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,6.778,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,6.57800006866455,1.038,1.252,0.761,0.479,0.069,0.095,6.488,1.07,1.323,0.861,0.433,0.074,0.073,6.595,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,6.465000153,9.859,0.831,68.597,0.862,-0.147,0.799,6.317,1.552,0.886,0.623,0.621,0.092,0.115,6.128
United States,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,7.119,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,7.104,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,6.99300003051758,1.398,1.471,0.819,0.547,0.291,0.133,6.886,1.433,1.457,0.874,0.454,0.28,0.128,6.892,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,6.939599991,11.023,0.92,68.2,0.837,0.098,0.698,6.951,1.982,1.182,0.628,0.574,0.22,0.177,6.977
Brazil,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,6.983,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,6.952,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,6.63500022888184,0.986,1.474,0.675,0.493,0.11,0.088,6.419,1.004,1.439,0.802,0.39,0.099,0.086,6.3,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,6.375599861,9.577,0.882,66.601,0.804,-0.071,0.756,6.33,1.462,1.044,0.615,0.546,0.131,0.134,6.293
